Company,Order Plant,Release Plant,Site Name,Region,OrderDate,OrderType,OrderNum,OrderLine,OrderRelNum,CustID,Name,CreditHold,PartNum,SellingReqQty,PackNum,ShipDate,TripNum,Nopol,Driver,ShipToNum,ShipToName,ShipToCity,Plant Coordinate,Cust. Coordinate,Distance KM,NP LL,NP SiteID,NP Site,Distance KM Nearest,NP Gap,EntryPerson,Created User,Status,Status SCM
SGI,SGI012,SGI012,Tangerang,Jawa,17/02/2025,TO,500000,1,1,863758,Perum Lailasari Maryati Tbk,Credit Hold,CYOXGFMR0500040,44,311371,23/02/2025,SGI012-835299,B 5914 YZ,drg. Dimas Wijaya,,,,"-6.1702, 106.6415","-5.980373, 116.702592",1116.980013,"0.628236, 106.089006",SGI006,Palangkaraya,1387.819236,-270.839223,Samiah,EMP100012,Allocated,4. Allocated
SIG,SIG003,SIG003,Balikpapan,Kalimantan,08/09/2025,SO,500001,1,1,621650,UD Fujiati Melani,No Hold,CYOXGFMR0759994,14,488118,18/09/2025,SIG003-173018,B 3200 ZZ,Ida Saptono,8,UD Wahyuni,Balikpapan,"-1.2654, 116.8312","-1.2654, 116.8312",0,"-1.67595, 108.761929",SIG017,Palembang,896.847588,-896.847588,Samiah,EMP100012,Shipped,6. Shipped
SGI,SGI017,SGI017,Malang,Jawa,12/05/2025,SO,500002,1,1,701674,CV Hastuti,Aging Hold,CYOXGFMR0037033,55,182175,20/05/2025,SGI017-975976,B 7192 YZ,"Lala Saragih, M.TI.",,,,"-7.9797, 112.6304","-5.028176, 117.908041",671.205789,"1.428372, 107.667701",SGI010,Semarang,1343.749239,-672.54345,Aisyah,EMP100002,Allocated,4. Allocated
SGI,SGI019,SGI019,Manado,Sulawesi,24/08/2025,TO,500003,1,1,233062,PD Namaga Agustina,No Hold,CYOXGFMR0184445,14,428572,25/08/2025,SGI019-211824,B 4562 ZZ,Zelda Widiastuti,1,CV Simbolon Wahyuni,Bandung,"1.4748, 124.8421","-6.9175, 107.6191",2126.634903,"-0.647649, 106.019811",SGI001,Kendari,718.237377,1408.397526,Irnanto,EMP100006,Shipped,6. Shipped
SGI,SGI011,SGI011,Palangkaraya,Kalimantan,12/06/2025,TO,500004,1,1,246233,PT Nasyidah (Persero) Tbk,No Hold,CYOXGFMR0916183,50,973091,22/06/2025,SGI011-629148,D 2513 YZ,Juli Latupono,,,,"-2.2096, 113.9145","-7.183609, 114.908856",563.039286,"-4.065624, 110.243803",SGI014,Mataram,622.83321,-59.793924,Daliono,EMP100011,Credit/Aging Hold,2. Credit/Aging Hold
SGI,SGI005,SGI005,Padang,Sumatra,27/07/2025,SO,500005,1,1,860369,UD Santoso,Credit Hold,CYOXGFMR0811755,11,543173,31/07/2025,SGI005-506024,L 9411 XY,Gamblang Pradana,2,UD Sihotang Tbk,Jambi,"-0.9471, 100.4172","-1.4852, 102.4381",232.135743,"1.475026, 110.016305",SGI004,Surabaya,903.079905,-670.944162,Mitra,EMP100003,Credit/Aging Hold,2. Credit/Aging Hold
SIG,SIG008,SIG008,Depok,Jawa,20/11/2025,SO,500006,1,1,487086,PT Pradipta,Credit Hold,CYOXGFMR0882627,7,206598,24/11/2025,SIG008-570668,AB 6317 XY,"Amelia Simanjuntak, S.E.",,,,"-6.4025, 106.7942","-1.287912, 118.174619",1384.935567,"-7.173466, 116.962997",SIG007,Samarinda,666.996114,717.939453,Aisyah,EMP100002,Ready to Deliver,5. Ready to Deliver
SGI,SGI015,SGI015,Palu,Sulawesi,30/10/2025,TO,500007,1,1,881604,CV Prakasa (Persero) Tbk,Aging Hold,CYOXGFMR0874793,89,117787,09/11/2025,SGI015-730746,B 4508 YZ,Tugiman Jailani,7,CV Halimah (Persero) Tbk,Depok,"-0.8917, 119.8707","-6.4025, 106.7942",1575.11997,"-7.306554, 119.724745",SGI002,Padang,1438.79421,136.32576,Samiah,EMP100012,Shipped,6. Shipped
SGI,SGI002,SGI002,Manado,Sulawesi,22/12/2025,SO,500008,1,1,368955,Perum Rahayu,Aging Hold,CYOXGFMR0085582,73,671634,31/12/2025,SGI002-472630,AB 5959 ZZ,"Dr. Indah Purwanti, M.Farm",7,UD Widiastuti Maryati Tbk,Palembang,"1.4748, 124.8421","-2.9909, 104.7566",2283.930672,"-2.279165, 110.112045",SGI010,Kupang,599.681163,1684.249509,Pranata,EMP100010,Shipped,6. Shipped
SIG,SIG004,SIG004,Balikpapan,Kalimantan,24/12/2025,SO,500009,1,1,684452,PD Uwais Pertiwi Tbk,No Hold,CYOXGFMR0539357,86,407841,30/12/2025,SIG004-606637,AB 3116 ZZ,Tirta Kuswoyo,,,,"-1.2654, 116.8312","-3.232454, 109.956603",793.703391,"-5.146908, 113.857284",SIG005,Bandar Lampung,482.313204,311.390187,Endra,EMP100004,Shipped,6. Shipped
SGI,SGI011,SGI011,Gorontalo,Sulawesi,20/08/2025,SO,500010,1,1,179604,PD Nainggolan Rahayu (Persero) Tbk,Aging Hold,CYOXGFMR0049557,40,188051,30/08/2025,SGI011-954772,D 4317 ZZ,Puti Wani Puspita,6,Perum Saragih Wijayanti (Persero) Tbk,Manado,"0.5372, 123.0615","1.4748, 124.8421",223.372959,"-0.431133, 118.991593",SGI004,Makassar,682.99743,-459.624471,Irnanto,EMP100006,Shipped,6. Shipped
SGI,SGI009,SGI009,Samarinda,Kalimantan,03/04/2025,TO,500011,1,1,380255,UD Thamrin,Aging Hold,CYOXGFMR0530898,7,705979,06/04/2025,SGI009-180180,L 6765 XY,Prima Haryanto,,,,"-0.5022, 117.1536","-5.102488, 107.722989",1164.702021,"-6.073716, 112.923902",SGI018,Kupang,587.28102,577.421001,Daliono,EMP100011,Shipped,6. Shipped
SGI,SGI015,SGI015,Bandung,Jawa,18/12/2025,TO,500012,1,1,225200,PD Riyanti,No Hold,CYOXGFMR0739110,38,581003,19/12/2025,SGI015-822194,B 4721 YZ,Tgk. Anggabaya Maheswara,,,,"-6.9175, 107.6191","-1.533016, 113.978794",924.959559,"-2.600908, 112.499639",SGI009,Banjarmasin,202.504071,722.455488,Ayu,EMP100008,Ready to Deliver,5. Ready to Deliver
SIG,SIG001,SIG001,Surabaya,Jawa,08/01/2025,SO,500013,1,1,658354,Perum Dabukke Tbk,No Hold,CYOXGFMR0858976,38,125188,10/01/2025,SIG001-297674,B 9953 YZ,"Mila Hutagalung, S.Ked",,,,"-7.2504, 112.7688","-3.066964, 108.489098",664.304919,"-2.71107, 114.385049",SIG020,Manado,655.641813,8.663106,Cahyo,EMP100014,Ready to Deliver,5. Ready to Deliver
SIG,SIG014,SIG014,Depok,Jawa,11/11/2025,SO,500014,1,1,663588,CV Rajata Maulana (Persero) Tbk,Aging Hold,CYOXGFMR0066832,10,200875,16/11/2025,SIG014-148138,D 9162 XY,Ophelia Budiyanto,2,PD Manullang,Makassar,"-6.4025, 106.7942","-5.1477, 119.4327",1409.770818,"-8.213313, 112.931828",SIG003,Medan,797.806062,611.964756,Mitra,EMP100003,Ready to Deliver,5. Ready to Deliver
SIG,SIG015,SIG015,Gorontalo,Sulawesi,29/05/2025,TO,500015,1,1,831589,PT Kuswoyo Mangunsong Tbk,No Hold,CYOXGFMR0199069,91,200901,04/06/2025,SIG015-560329,AB 2128 YZ,Hartaka Wahyudin,,,,"0.5372, 123.0615","-2.111237, 117.4144",692.340744,"-5.367669, 110.083505",SIG011,Bandung,890.399709,-198.058965,Gandewa,EMP100000,Shipped,6. Shipped
SIG,SIG007,SIG007,Palangkaraya,Kalimantan,25/08/2025,TO,500016,1,1,499864,PT Suartini,Credit Hold,CYOXGFMR0590556,43,824568,03/09/2025,SIG007-174930,D 4082 ZZ,Lulut Tarihoran,,,,"-2.2096, 113.9145","-1.147392, 108.362738",627.423504,"-1.758877, 117.876825",SIG015,Gorontalo,1058.242587,-430.819083,Irnanto,EMP100006,Ready to Deliver,5. Ready to Deliver
SGI,SGI010,SGI010,Bandar Lampung,Sumatra,05/10/2025,SO,500017,1,1,399496,CV Hastuti Rajasa,Credit Hold,CYOXGFMR0728361,52,890296,09/10/2025,SGI010-966114,D 1892 XY,Prabawa Jailani,1,CV Simbolon,Banjarmasin,"-5.3971, 105.2668","-3.3201, 114.5908",1060.331274,"0.322884, 111.224903",SGI019,Kupang,550.548789,509.782485,Samiah,EMP100012,Open Order,1. Open Order
SGI,SGI007,SGI007,Padang,Sumatra,09/09/2025,TO,500018,1,1,876409,PD Hassanah Tbk,Credit Hold,CYOXGFMR0658181,10,441778,12/09/2025,SGI007-497221,AB 2498 XY,Cakrawala Namaga,,,,"-0.9471, 100.4172","-5.156303, 114.857832",1669.615824,"-3.438716, 114.195603",SGI002,Manado,204.332019,1465.283805,Irnanto,EMP100006,Credit/Aging Hold,2. Credit/Aging Hold
SIG,SIG018,SIG018,Padang,Sumatra,09/04/2025,SO,500019,1,1,254201,PD Maulana Nasyidah,Credit Hold,CYOXGFMR0710759,78,564370,14/09/2025,SIG018-236993,AB 1908 XY,"KH. Harsana Uyainah, S.Kom",,,,"-0.9471, 100.4172","-2.463386, 107.912863",848.871279,"-5.10718, 116.699785",SIG005,Bandar Lampung,1018.539996,-169.668717,Samiah,EMP100012,Allocated,4. Allocated
SGI,SGI001,SGI001,Bekasi,Jawa,23/03/2025,TO,500020,1,1,898834,CV Wulandari Januar,No Hold,CYOXGFMR0757818,5,893192,24/03/2025,SGI001-213388,D 1710 ZZ,Maya Hidayat,6,CV Suryatmi Sihombing (Persero) Tbk,Bandung,"-6.2416, 106.9924","-6.9175, 107.6191",102.312474,"-7.405662, 109.803808",SGI003,Tangerang,248.482602,-146.170128,Daliono,EMP100011,Order Released,3. Order Released
